TEAM_ID,NICKNAME,CITY
1610612737,Hawks,Atlanta
1610612738,Celtics,Boston
1610612740,Pelicans,New Orleans
1610612741,Bulls,Chicago
1610612742,Mavericks,Dallas
1610612743,Nuggets,Denver
1610612745,Rockets,Houston
1610612746,Clippers,Los Angeles
1610612747,Lakers,Los Angeles
1610612748,Heat,Miami
1610612749,Bucks,Milwaukee
1610612750,Timberwolves,Minnesota
1610612751,Nets,Brooklyn
1610612752,Knicks,New York
1610612753,Magic,Orlando
1610612754,Pacers,Indiana
1610612755,76ers,Philadelphia
1610612756,Suns,Phoenix
1610612757,Trail Blazers,Portland
1610612758,Kings,Sacramento
1610612759,Spurs,San Antonio
1610612760,Thunder,Oklahoma City
1610612761,Raptors,Toronto
1610612762,Jazz,Utah
1610612763,Grizzlies,Memphis
1610612764,Wizards,Washington
1610612765,Pistons,Detroit
1610612766,Hornets,Charlotte
1610612739,Cavaliers,Cleveland
1610612744,Warriors,Golden State
